date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2021-01-20,AAPL,0.4829218182443453,30,1.0,16
2021-01-21,AAPL,0.4861567017474468,30,1.0,17
2021-01-22,AAPL,0.4692428002311852,30,1.0,16
2021-01-25,AAPL,0.3531022468995355,30,1.0,16
2021-01-26,AAPL,0.353532447163604,30,1.0,16
2021-01-27,AAPL,0.4905681420575243,30,1.0,16
2021-01-28,AAPL,0.36812983226994045,30,1.0,17
2021-01-29,AAPL,0.3764485124313608,30,1.0,16
2021-02-01,AAPL,0.31544379328592126,30,1.0,16
2021-02-02,AAPL,0.2543679806141837,30,1.0,16
2021-02-03,AAPL,0.23660751482479295,30,1.0,16
2021-02-04,AAPL,0.28319486157643226,30,1.0,17
2021-02-05,AAPL,0.27576171670767136,30,1.0,16
2021-02-08,AAPL,0.25702844496590876,30,1.0,16
2021-02-09,AAPL,0.26637640302693616,30,1.0,16
2021-02-10,AAPL,0.24958244365320986,30,1.0,16
2021-02-11,AAPL,0.26892944043406275,30,1.0,17
2021-02-12,AAPL,0.20502036924744588,30,1.0,17
2021-02-16,AAPL,0.1571571018499668,30,1.0,17
2021-02-17,AAPL,0.1437684956817901,30,1.0,17
2021-02-18,AAPL,0.1841810693936445,30,1.0,18
2021-02-19,AAPL,0.18229555294163974,30,1.0,17
2021-02-22,AAPL,0.1934489676943018,30,1.0,17
2021-02-23,AAPL,0.2560257161902075,30,1.0,17
2021-02-24,AAPL,0.30767087287905903,30,1.0,17
2021-02-25,AAPL,0.34262006149396995,30,1.0,18
2021-02-26,AAPL,0.28807453887209294,30,1.0,17
2021-03-01,AAPL,0.26077525903046705,30,1.0,17
2021-03-02,AAPL,0.2657011836093664,30,1.0,17
2021-03-03,AAPL,0.3052033774255202,30,1.0,17
2021-03-04,AAPL,0.3158941875228658,30,1.0,18
2021-03-05,AAPL,0.2881685218591313,30,1.0,17
2021-03-08,AAPL,0.3581853882775004,30,1.0,17
2021-03-09,AAPL,0.2897777080621401,30,1.0,17
2021-03-10,AAPL,0.31289059309360095,30,1.0,17
2021-03-11,AAPL,0.2703210948160951,30,1.0,18
2021-03-12,AAPL,0.24242807832877444,30,1.0,17
2021-03-15,AAPL,0.2029569313351344,30,1.0,17
2021-03-16,AAPL,0.19309497682204027,30,1.0,17
2021-03-17,AAPL,0.14854196946383041,30,1.0,17
2021-03-18,AAPL,0.20049964343926727,30,1.0,17
2021-03-19,AAPL,0.21030629960821332,30,1.0,16
2021-03-22,AAPL,0.2365631425524885,30,1.0,16
2021-03-23,AAPL,0.14380864117037628,30,1.0,17
2021-03-24,AAPL,0.25048180653611873,30,1.0,17
2021-03-25,AAPL,0.2160019960804157,30,1.0,18
2021-03-26,AAPL,0.20716483025077176,30,1.0,17
2021-03-29,AAPL,0.2498746877394823,30,1.0,18
2021-03-30,AAPL,0.29338983364913707,30,1.0,18
2021-03-31,AAPL,0.2267349254429384,30,1.0,18
2021-04-01,AAPL,0.2111656210945106,30,1.0,18
2021-04-05,AAPL,0.26138086834858104,30,1.0,18
2021-04-06,AAPL,0.17548830992310854,30,1.0,18
2021-04-07,AAPL,0.15183768022805,30,1.0,18
2021-04-08,AAPL,0.1751503884044105,30,1.0,19
2021-04-09,AAPL,0.17016967010675318,30,1.0,18
2021-04-12,AAPL,0.16808693860534143,30,1.0,18
2021-04-13,AAPL,0.1851192326514826,30,1.0,18
2021-04-14,AAPL,0.24468082586001488,30,1.0,18
2021-04-15,AAPL,0.24124796118922534,30,1.0,18
2021-04-16,AAPL,0.2760766620514616,30,1.0,17
2021-04-19,AAPL,0.3120860519252577,30,1.0,17
2021-04-20,AAPL,0.20027129874044233,30,1.0,17
2021-04-21,AAPL,0.5058513881983738,30,1.0,17
2021-04-22,AAPL,0.48749671577886333,30,1.0,18
2021-04-23,AAPL,0.42320956237740065,30,1.0,17
